age,genre,profession,risque commune,département,depuis,Proprio,Principale,informé,erosion présent,intensité érosion,média,marquant,quel marquant,danger,Avis,bien avis,investissement,invest comment,actions,action laquel
60 à 74 ans,Femme,Non,Oui,Eure,40.0,Propriétaire,Résidence secondaire,Pas informé,Oui,Peu présent,Non,Non,,Non,Oui,Non,Oui,Nettoyage pas de déchet,Non,Pas assez de bulletin
75 ans ou plus,Homme,Non,Non,Jura,79.0,Propriétaire,Résidence principale,Assez informé,Oui,Peu présent,Non,Non,,Oui,Oui,Oui,Non,,Oui,Enrochement protection contre les chutes et ils sont protégées marquage
60 à 74 ans,Femme,Non,Oui,Tarn,1.0,Propriétaire,Résidence principale,Pas informé,Oui,Très présent,Non,Oui,Pointe St Gildas sable passé par dessus le muret 2023 ou 2022 et la tempête de 1999,Non,Oui,Non,Oui,Nettoyage de plage avec l'association surf rider depuis 2 ans ou dès qu'elle sort,Oui,Aménagements de la côte en chemin côtier et pour que le sable bouge pas trop
15 à 29 ans,Femme,Non,Non,Val-de-Marne,27.0,Propriétaire,Résidence secondaire,Pas informé,Non,Abscent,Non,Non,,Non,Oui,Non,Non,,Non,
60 à 74 ans,Homme,Non,Oui,Loire-Atlantique,69.0,Propriétaire,Résidence principale,Très informé,Oui,Peu présent,Non,Oui,Tempêtes et effondrements de falaises sans lien systématique avec les tempetes,Non,Non,Oui,Oui,En tant que conseiller municipal en charge des travaux,Oui,"Drainage des eaux pluviales en haut des falaises
Reprises des perrés maçonnés sur les plages"
30 à 44 ans,Femme,Non,Oui,Finistère,31.0,Locataires,Résidence principale,Assez informé,Oui,Assez présent,Non,Non,,Non,Non,Non,Non,,Non,
60 à 74 ans,Homme,Non,Oui,Morbihan,8.0,Propriétaire,Résidence principale,Assez informé,Oui,Assez présent,Non,Oui,XYNTHIA,Non,Oui,Oui,Oui,"Via assos :les souris vertes,Surfrider, hirondelle",Oui,"Filets anti-éboulement, épis, ganivelles sur dunes "
60 à 74 ans,Homme,Non,Oui,Yonne,25.0,Propriétaire,Résidence principale,Assez informé,Oui,Assez présent,Oui,Oui,Retrait tempete,Oui,Oui,Non,Oui,Nettoyage surveillance,Non,
45 à 59 ans,Homme,Non,Oui,Puy-de-Dôme,58.0,Propriétaire,Résidence principale,Très informé,Oui,Assez présent,Non,Oui,Destruction de la falaise,Non,Oui,Non,Non,,Oui,Murs de renforcement
60 à 74 ans,Femme,Non,Oui,Vosges,60.0,Propriétaire,Résidence principale,Très informé,Oui,Très présent,Oui,Oui,"Tempêtes d’hiver , effondrement corniche.. ",Oui,Oui,,Oui,"Ramassage déchets plastiques et autres sur les plages , respect des sentiers balisés et de la végétation côtière .. ",Oui,"Pancartes préventives (malheureusement mal fixées qui s’envolent lors des tempêtes ), zones littorales inconstructibles, côte sauvage préservée sentiers balisés , murs de renforts reconstruits autour des plages, … "
60 à 74 ans,Homme,Non,Oui,Somme,10.0,Propriétaire,Résidence principale,Assez informé,Oui,Assez présent,Oui,Oui,Expo et visite,Non,Oui,Oui,Oui,Asep,Oui,Surveillance et sensibilisation
75 ans ou plus,Homme,Oui,Oui,Rhône,22.0,Propriétaire,Résidence principale,Assez informé,Oui,Assez présent,Non,Non,,Non,Oui,Non,Non,,Non,
60 à 74 ans,Femme,Non,Oui,Haute-Loire,12.0,Propriétaire,Résidence principale,Assez informé,Oui,Assez présent,Non,Oui,Chutes de rochers,Non,Oui,Non,Non,,Non,
60 à 74 ans,Femme,Non,Oui,Indre-et-Loire,13.0,Propriétaire,Résidence secondaire,Pas informé,Oui,Peu présent,Non,Non,,Non,Oui,Non,Non,,Oui,Des murs non aucune idée
45 à 59 ans,Homme,Non,Oui,Lot-et-Garonne,40.0,Propriétaire,Résidence secondaire,Pas informé,Oui,Peu présent,Non,Oui,Erica,Oui,Oui,Non,Oui,Les plastiques pour les pêcheurs,Non,
75 ans ou plus,Femme,Non,Oui,Corrèze,7.0,Propriétaire,Résidence principale,Assez informé,Oui,Peu présent,Non,Oui,tempête novembre 2024 et fin octobre 2025,Non,,Non,Non,,Oui,Pancarte
75 ans ou plus,Homme,Non,Oui,Essonne,40.0,Propriétaire,Résidence principale,Assez informé,Oui,Assez présent,Oui,Oui,,Non,Oui,Non,Oui,En faisant des cleanwalk,Oui,Nettoyage de la plage plusieurs fois par ans qu’il faudrait améliorer
75 ans ou plus,Homme,Non,Oui,Haut-Rhin,40.0,Propriétaire,Résidence principale,Assez informé,Oui,Assez présent,Oui,Oui,,Non,Oui,Non,Oui,En faisant des cleanwalk,Oui,Nettoyage de la plage plusieurs fois par ans qu’il faudrait améliorer
60 à 74 ans,Femme,Non,Oui,Val-d’Oise,4.0,Propriétaire,Résidence principale,Peu informé,Oui,Peu présent,Non,Oui,tempête Novembre 2024,Non,Oui,Non,Non,,Non,
60 à 74 ans,Femme,Non,Oui,Meuse,4.0,Propriétaire,Résidence principale,Peu informé,Oui,Assez présent,Non,Non,,Non,Oui,Non,Non,,Non,
60 à 74 ans,Femme,Non,Oui,Drôme,5.0,Propriétaire,Résidence principale,Très informé,Oui,Peu présent,Oui,Oui,Chemin littoraux qui part et sont fermé,Non,Oui,Non,Non,,Non,
60 à 74 ans,Femme,Non,Oui,Saône-et-Loire,5.0,Propriétaire,Résidence principale,Très informé,Oui,Peu présent,Oui,Oui,Chemin littoraux qui part et sont fermé,Non,Oui,Non,Non,,Non,
45 à 59 ans,Femme,Non,Non,Gard,13.0,Locataires,Résidence principale,Pas informé,Oui,Abscent,Non,Oui,Tempête mais pas de gros incident,Non,Oui,Non,Oui,Attentif à son évolution,Oui,Entretien et assez correct
60 à 74 ans,Homme,Non,Oui,Pyrénées-Atlantiques,1.5,Propriétaire,Résidence principale,Assez informé,Oui,Très présent,Non,Non,,Non,Oui,Non,Non,,Oui,Pancarte et barrière
30 à 44 ans,Homme,Oui,Oui,Oise,3.0,Locataires,Résidence principale,Très informé,Oui,Assez présent,Oui,Oui,Falaise qui s'est effondré en début,Non,Non,Non,Non,,Non,
45 à 59 ans,Femme,Non,Oui,Paris,52.0,Propriétaire,Résidence principale,Assez informé,Oui,Peu présent,Non,Oui,Érosion de la roche percée,Non,Oui,Non,Non,,Oui,Végétalisation
60 à 74 ans,Femme,Non,Oui,Haute-Vienne,5.0,Propriétaire,Résidence principale,Très informé,Oui,Peu présent,Oui,Oui,Chemin littoraux qui part et sont fermé,Non,Oui,Non,Non,,Non,
60 à 74 ans,Femme,Non,Oui,Charente-Maritime,5.0,Propriétaire,Résidence principale,Très informé,Oui,Peu présent,Oui,Oui,Chemin littoraux qui part et sont fermé,Non,Oui,Non,Non,,Non,
45 à 59 ans,Femme,Non,Non,Ain,13.0,Locataires,Résidence principale,Pas informé,Oui,Abscent,Non,Oui,Tempête mais pas de gros incident,Non,Oui,Non,Oui,Attentif à son évolution,Oui,Entretien et assez correct
60 à 74 ans,Homme,Non,Oui,Tarn-et-Garonne,1.5,Propriétaire,Résidence principale,Assez informé,Oui,Très présent,Non,Non,,Non,Oui,Non,Non,,Oui,Pancarte et barrière
30 à 44 ans,Homme,Oui,Oui,Cantal,3.0,Locataires,Résidence principale,Très informé,Oui,Assez présent,Oui,Oui,Falaise qui s'est effondré en début,Non,Non,Non,Non,,Non,
45 à 59 ans,Femme,Non,Oui,Seine-Maritime,52.0,Propriétaire,Résidence principale,Assez informé,Oui,Peu présent,Non,Oui,Érosion de la roche percée,Non,Oui,Non,Non,,Oui,Végétalisation
60 à 74 ans,Femme,Non,Oui,Aisne,40.0,Propriétaire,Résidence secondaire,Pas informé,Oui,Peu présent,Non,Non,,Non,Oui,Non,Oui,Nettoyage pas de déchet,Non,Pas assez de bulletin
75 ans ou plus,Homme,Non,Non,Savoie,79.0,Propriétaire,Résidence principale,Assez informé,Oui,Peu présent,Non,Non,,Oui,Oui,Oui,Non,,Oui,Enrochement protection contre les chutes et ils sont protégées marquage
60 à 74 ans,Femme,Non,Oui,Vienne,1.0,Propriétaire,Résidence principale,Pas informé,Oui,Très présent,Non,Oui,Pointe St Gildas sable passé par dessus le muret 2023 ou 2022 et la tempête de 1999,Non,Oui,Non,Oui,Nettoyage de plage avec l'association surf rider depuis 2 ans ou dès qu'elle sort,Oui,Aménagements de la côte en chemin côtier et pour que le sable bouge pas trop
15 à 29 ans,Femme,Non,Non,Gironde,27.0,Propriétaire,Résidence secondaire,Pas informé,Non,Abscent,Non,Non,,Non,Oui,Non,Non,,Non,
60 à 74 ans,Homme,Non,Oui,Calvados,69.0,Propriétaire,Résidence principale,Très informé,Oui,Peu présent,Non,Oui,Tempêtes et effondrements de falaises sans lien systématique avec les tempetes,Non,Non,Oui,Oui,En tant que conseiller municipal en charge des travaux,Oui,"Drainage des eaux pluviales en haut des falaises
Reprises des perrés maçonnés sur les plages"
30 à 44 ans,Femme,Non,Oui,Hautes-Pyrénées,31.0,Locataires,Résidence principale,Assez informé,Oui,Assez présent,Non,Non,,Non,Non,Non,Non,,Non,
